DATE,TMAX,TMIN,PRCP,SNWD
2024-03-02,56.820198,29.4602,0.0,0.0
2024-03-03,67.9802,41.340202,0.0,0.0
2024-03-04,71.5802,47.280197,0.122047246,0.0
2024-03-05,46.2902,38.4602,0.16535434,0.0
2024-03-06,46.2002,35.9402,0.0,0.0
2024-03-07,49.710197,30.9002,0.0,0.0
2024-03-08,43.410202,40.3502,0.97244096,0.0
2024-03-09,44.5802,32.3402,0.007874016,0.0
2024-03-10,45.4802,27.030201,0.0,0.0
2024-03-11,61.7702,29.6402,0.0,0.0
2024-03-12,66.3602,46.6502,0.0,0.0
2024-03-13,63.3002,44.2202,0.43700787,0.0
2024-03-14,64.560196,39.4502,0.62992126,0.0
2024-03-15,51.6002,34.0502,0.0,0.0
2024-03-16,57.0002,36.4802,0.0,0.0
2024-03-17,41.070198,29.0102,0.0,0.0
2024-03-18,37.3802,22.2602,0.0,0.0
2024-03-19,54.8402,27.3002,0.0,0.0
2024-03-20,39.8102,24.7802,0.0,0.0
2024-03-21,38.3702,22.5302,,
2024-03-22,,,,
